,death_year,death_month,hhs_region,age_group,all_cause,natural_cause,septicemia,malignant_neoplasms,diabetes_mellitus,alzheimer,influenza_pneumonia,chronic_respiratory,other_respiratory,neophrotic_syndrome,abnormal_clinical_laboratory_findings,heart_diseases,cerebrovascular_diseases,covid-19_multicause,covid-19_onlycause,total_deaths
0,2019,1,Massachusetts,0-4 years,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,116
1,2019,1,Massachusetts,15-24 years,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,94
2,2019,1,Massachusetts,25-34 years,202,51,0,0,0,0,0,0,0,0,0,0,0,0,0,253
3,2019,1,Massachusetts,35-44 years,269,142,0,33,0,0,0,0,0,0,0,23,0,0,0,467
4,2019,1,Massachusetts,45-54 years,601,476,0,141,25,0,15,14,10,11,0,85,12,0,0,1390
5,2019,1,Massachusetts,5-14 years,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6,2019,1,Massachusetts,55-64 years,1410,1271,19,473,44,0,28,65,21,24,11,259,30,0,0,3655
7,2019,1,Massachusetts,65-74 years,2164,2082,42,678,67,28,53,154,38,41,13,450,63,0,0,5873
8,2019,1,Massachusetts,75-84 years,2951,2866,43,709,84,110,74,231,42,66,38,609,150,0,0,7973
9,2019,1,Massachusetts,85 years and over,4772,4625,65,523,95,279,154,220,74,113,62,1315,264,0,0,12561
10,2019,1,NewYork,0-4 years,127,117,0,0,0,0,0,0,0,0,14,0,0,0,0,258
11,2019,1,NewYork,15-24 years,134,54,0,13,0,0,0,0,0,0,0,0,0,0,0,201
12,2019,1,NewYork,25-34 years,352,148,0,32,0,0,0,0,0,0,10,24,0,0,0,566
13,2019,1,NewYork,35-44 years,470,293,0,74,16,0,16,0,12,0,10,54,0,0,0,945
14,2019,1,NewYork,45-54 years,1035,841,0,254,29,0,25,23,12,0,16,212,30,0,0,2477
15,2019,1,NewYork,5-14 years,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,63
16,2019,1,NewYork,55-64 years,2505,2307,39,752,88,0,60,103,40,28,31,598,80,0,0,6631
17,2019,1,NewYork,65-74 years,3684,3554,75,1161,148,23,81,192,64,85,33,981,136,0,0,10217
18,2019,1,NewYork,75-84 years,4962,4846,87,1138,152,125,164,326,104,104,50,1336,242,0,0,13636
19,2019,1,NewYork,85 years and over,7792,7634,117,832,143,428,260,367,168,167,118,2698,377,0,0,21101
20,2019,1,Washington,0-4 years,193,174,0,0,0,0,0,0,0,0,26,0,0,0,0,393
21,2019,1,Washington,15-24 years,223,54,0,13,0,0,0,0,0,0,0,0,0,0,0,290
22,2019,1,Washington,25-34 years,467,129,0,22,10,0,0,0,0,0,0,24,0,0,0,652
23,2019,1,Washington,35-44 years,683,355,0,78,22,0,0,0,0,0,10,89,11,0,0,1248
24,2019,1,Washington,45-54 years,1422,1078,22,333,46,0,35,23,12,21,18,266,40,0,0,3316
25,2019,1,Washington,5-14 years,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,56
26,2019,1,Washington,55-64 years,3414,3097,81,930,150,0,49,196,40,54,39,773,131,0,0,8954
27,2019,1,Washington,65-74 years,4958,4750,96,1458,203,42,106,343,89,116,50,1143,187,0,0,13541
28,2019,1,Washington,75-84 years,6441,6222,122,1438,217,208,127,448,132,155,60,1502,354,0,0,17426
29,2019,1,Washington,85 years and over,8677,8397,137,993,205,553,230,388,136,175,136,2515,625,0,0,23167
30,2019,1,Georgia,0-4 years,498,441,0,0,0,0,0,0,0,0,51,12,0,0,0,1002
31,2019,1,Georgia,15-24 years,584,159,0,27,0,0,0,0,0,0,15,20,0,0,0,805
32,2019,1,Georgia,25-34 years,1068,354,0,55,14,0,0,0,0,0,10,71,0,0,0,1572
33,2019,1,Georgia,35-44 years,1753,1019,29,223,50,0,21,11,11,22,18,249,35,0,0,3441
34,2019,1,Georgia,45-54 years,3506,2806,54,742,158,0,54,106,42,65,28,717,113,0,0,8391
35,2019,1,Georgia,5-14 years,120,65,0,11,0,0,0,0,0,0,0,0,0,0,0,196
36,2019,1,Georgia,55-64 years,8075,7399,154,2341,324,22,120,457,127,151,72,1790,288,0,0,21320
37,2019,1,Georgia,65-74 years,11958,11443,192,3435,438,183,206,1006,246,275,87,2742,508,0,0,32719
38,2019,1,Georgia,75-84 years,14483,14000,230,3109,429,724,275,1215,320,319,151,3305,924,0,0,39484
39,2019,1,Georgia,85 years and over,15850,15323,202,1753,281,1493,390,911,230,307,272,4326,1349,0,0,42687
40,2019,1,Illinois,0-4 years,322,268,0,0,0,0,0,0,0,0,33,0,0,0,0,623
41,2019,1,Illinois,15-24 years,352,92,0,11,0,0,0,0,0,0,0,10,0,0,0,465
42,2019,1,Illinois,25-34 years,679,253,0,36,12,0,0,0,0,0,13,47,0,0,0,1040
43,2019,1,Illinois,35-44 years,1115,655,14,163,34,0,18,0,11,16,10,140,17,0,0,2193
44,2019,1,Illinois,45-54 years,2315,1853,24,550,103,0,41,49,21,31,13,439,94,0,0,5533
45,2019,1,Illinois,5-14 years,69,41,0,0,0,0,0,0,0,0,0,0,0,0,0,110
46,2019,1,Illinois,55-64 years,5669,5205,83,1739,244,17,89,322,66,81,44,1291,186,0,0,15036
47,2019,1,Illinois,65-74 years,8467,8142,146,2581,374,98,143,675,165,170,53,1843,357,0,0,23214
48,2019,1,Illinois,75-84 years,10684,10363,172,2478,321,527,179,873,192,256,79,2434,584,0,0,29142
49,2019,1,Illinois,85 years and over,14549,14082,185,1530,279,1295,348,716,208,308,216,4236,1117,0,0,39069
50,2019,1,Texas,0-4 years,321,265,0,0,0,0,0,0,0,0,35,0,0,0,0,621
51,2019,1,Texas,15-24 years,336,85,0,20,11,0,0,0,0,0,0,13,0,0,0,465
52,2019,1,Texas,25-34 years,600,250,0,34,17,0,0,0,0,0,12,53,0,0,0,966
53,2019,1,Texas,35-44 years,952,599,0,127,35,0,14,0,0,0,0,132,23,0,0,1882
54,2019,1,Texas,45-54 years,1966,1636,27,416,92,0,33,52,15,38,22,416,73,0,0,4786
55,2019,1,Texas,5-14 years,87,45,0,10,0,0,0,0,0,0,0,0,0,0,0,142
56,2019,1,Texas,55-64 years,4559,4187,85,1251,203,21,102,250,62,96,42,1050,173,0,0,12081
57,2019,1,Texas,65-74 years,6471,6228,101,1758,302,115,143,517,117,157,37,1594,278,0,0,17818
58,2019,1,Texas,75-84 years,7582,7357,131,1573,295,425,164,631,179,155,39,1858,456,0,0,20845
59,2019,1,Texas,85 years and over,8251,8017,110,862,185,870,226,493,127,169,66,2346,611,0,0,22333
60,2019,1,Kansas,0-4 years,85,72,0,0,0,0,0,0,0,0,0,0,0,0,0,157
61,2019,1,Kansas,15-24 years,112,33,0,0,0,0,0,0,0,0,0,0,0,0,0,145
62,2019,1,Kansas,25-34 years,205,61,0,16,0,0,0,0,0,0,0,10,0,0,0,292
63,2019,1,Kansas,35-44 years,301,184,0,37,0,0,0,0,0,0,0,45,0,0,0,567
64,2019,1,Kansas,45-54 years,657,544,11,140,22,0,13,25,13,15,0,130,29,0,0,1599
65,2019,1,Kansas,5-14 years,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,42
66,2019,1,Kansas,55-64 years,1648,1501,26,473,70,0,24,110,28,23,11,345,54,0,0,4313
67,2019,1,Kansas,65-74 years,2408,2290,40,695,99,31,42,220,49,44,12,563,92,0,0,6585
68,2019,1,Kansas,75-84 years,2996,2906,47,658,96,117,65,280,68,64,17,681,156,0,0,8151
69,2019,1,Kansas,85 years and over,4108,3974,55,441,81,315,146,244,65,86,69,1156,249,0,0,10989
70,2019,1,Colorado,0-4 years,82,74,0,0,0,0,0,0,0,0,0,0,0,0,0,156
71,2019,1,Colorado,15-24 years,105,24,0,0,0,0,0,0,0,0,0,0,0,0,0,129
72,2019,1,Colorado,25-34 years,192,68,0,11,0,0,0,0,0,0,0,0,0,0,0,271
73,2019,1,Colorado,35-44 years,282,160,0,28,0,0,0,0,0,0,0,32,0,0,0,502
74,2019,1,Colorado,45-54 years,441,329,0,80,17,0,11,15,0,0,0,60,15,0,0,968
75,2019,1,Colorado,5-14 years,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
76,2019,1,Colorado,55-64 years,1030,913,14,274,39,0,20,59,18,10,0,212,34,0,0,2623
77,2019,1,Colorado,65-74 years,1463,1385,30,446,67,23,24,105,28,29,14,285,50,0,0,3949
78,2019,1,Colorado,75-84 years,1960,1889,22,443,73,106,31,175,29,28,11,440,93,0,0,5300
79,2019,1,Colorado,85 years and over,2528,2423,24,270,42,273,55,150,44,32,22,685,189,0,0,6737
80,2019,1,California,0-4 years,267,241,0,0,0,0,0,0,0,0,33,0,0,0,0,541
81,2019,1,California,15-24 years,336,87,0,22,0,0,0,0,0,0,0,0,0,0,0,445
82,2019,1,California,25-34 years,676,250,0,45,14,0,15,0,0,0,0,40,0,0,0,1040
83,2019,1,California,35-44 years,945,618,0,162,38,0,24,13,0,0,17,101,22,0,0,1940
84,2019,1,California,45-54 years,1928,1500,14,391,112,0,53,30,16,25,14,357,63,0,0,4503
85,2019,1,California,5-14 years,50,33,0,12,0,0,0,0,0,0,0,0,0,0,0,95
86,2019,1,California,55-64 years,4389,3920,36,1271,226,15,129,168,38,51,16,959,149,0,0,11367
87,2019,1,California,65-74 years,6274,5973,52,1881,308,101,158,408,105,102,21,1408,290,0,0,17081
88,2019,1,California,75-84 years,8118,7875,63,1872,313,473,249,592,151,129,32,1948,515,0,0,22330
89,2019,1,California,85 years and over,11157,10897,53,1397,257,1324,354,666,115,159,62,3281,907,0,0,30629
90,2019,1,Massachusetts,0-4 years,66,57,0,0,0,0,0,0,0,0,10,0,0,0,0,133
91,2019,1,Massachusetts,15-24 years,81,21,0,0,0,0,0,0,0,0,0,0,0,0,0,102
92,2019,1,Massachusetts,25-34 years,175,59,0,0,0,0,0,0,0,0,0,0,0,0,0,234
93,2019,1,Massachusetts,35-44 years,253,128,0,30,11,0,0,0,0,0,0,21,0,0,0,443
94,2019,1,Massachusetts,45-54 years,528,392,0,111,24,0,0,15,0,0,0,68,10,0,0,1148
95,2019,1,Massachusetts,5-14 years,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
